,Cluster Labels,Neighborhood,City
58,3,Lone Mountain,San Francisco
59,3,Lower Haight,San Francisco
65,3,Mid-Market,San Francisco
68,3,Mission Bay,San Francisco
69,3,Mission District,San Francisco
70,3,Mission Dolores,San Francisco
74,3,Nob Hill,San Francisco
75,3,Noe Valley,San Francisco
86,3,Polk Gulch,San Francisco
89,3,Potrero Hill,San Francisco
93,3,Rincon Hill,San Francisco
99,3,South Beach,San Francisco
100,3,South End,San Francisco
102,3,South Park,San Francisco
101,3,South of Market,San Francisco
106,3,Telegraph Hill,San Francisco
107,3,Tenderloin,San Francisco
110,3,Union Square,San Francisco
116,3,Western Addition,San Francisco
119,3,Yerba Buena,San Francisco
123,3,Atlantic,Seattle
126,3,Belltown,Seattle
132,3,Broadway,Seattle
134,3,Capitol Hill,Seattle
135,3,"Cascade, Seattle",Seattle
137,3,"Central Area / Central District (""CD"")",Seattle
138,3,Central Business District,Seattle
139,3,Central Waterfront,Seattle
140,3,Cherry Hill & Squire Park,Seattle
144,3,Denny Triangle,Seattle
145,3,Downtown,Seattle
147,3,East Queen Anne,Seattle
148,3,Eastlake,Seattle
151,3,First Hill,Seattle
160,3,Harrison / Denny-Blaine,Seattle
168,3,Interlaken,Seattle
169,3,"International District (""ID"")",Seattle
173,3,Lake Union,Seattle
177,3,Leschi,Seattle
178,3,Lower Queen Anne,Seattle
181,3,Madison Valley,Seattle
182,3,Madrona,Seattle
184,3,Mann,Seattle
189,3,Minor,Seattle
190,3,Montlake,Seattle
197,3,North Queen Anne,Seattle
200,3,Northlake,Seattle
204,3,Pike-Market,Seattle
205,3,Pike-Pine Corridor / Pike/Pine,Seattle
207,3,Pioneer Square,Seattle
209,3,Queen Anne,Seattle
224,3,"South Lake Union, Seattle",Seattle
227,3,Stevens,Seattle
234,3,Washington Park,Seattle
236,3,West Edge,Seattle
240,3,Westlake,Seattle
243,3,Yesler Terrace,Seattle
